id,site,category,cluster,parent_topic,article_title,search_intent,primary_keyword,secondary_keywords,local_angle,medical_risk_level,conversion_goal,internal_link_target,notes
0001,aoshin,健診異常,血圧異常,高血圧,健診で血圧が高いと言われたらどうする？,行動,健診 血圧 高い,家庭血圧|降圧薬|生活習慣,,low,WEB予約,0036|0043,健診直後の最初の一歩に絞る
0002,aoshin,健診異常,脂質異常,コレステロール,健診でLDLコレステロールが高いと言われたら,情報収集,LDL 高い 健診,LDL|HDL|脂質異常症,,low,関連記事誘導,0039,LDLとHDLの違いから入る
0003,aoshin,健診異常,脂質異常,中性脂肪,健診で中性脂肪が高い原因とまずできる対策,行動,中性脂肪 高い 対策,TG|食事|運動,,low,関連記事誘導,0039|0045,TG単独高値に絞る
0004,aoshin,健診異常,血糖異常,糖尿病前段階,健診の血糖値が高い：HbA1cとの違いと再検査の目安,情報収集,血糖値 高い 健診,血糖|HbA1c|耐糖能異常,,medium,WEB予約,0005|0037,空腹時血糖単独で異常時
0005,aoshin,健診異常,血糖異常,糖尿病,HbA1cが高いと言われたら：糖尿病との境界と対応,行動,HbA1c 高い,糖尿病|前段階|食事,,medium,WEB予約,0037|0038,HbA1c単独高値の判断
0006,aoshin,健診異常,肝機能異常,肝機能総論,健診で肝機能異常を指摘されたら最初に何をする,情報収集,肝機能 異常 健診,AST|ALT|γGTP,,medium,WEB予約,0007|0008|0009,肝酵素全体の俯瞰
0007,aoshin,健診異常,肝機能異常,AST/ALT,AST・ALTが高い原因と再検査までにできること,情報収集,AST ALT 高い,肝細胞|脂肪肝|薬剤性,,medium,関連記事誘導,0006|0009,AST/ALT単独で
0008,aoshin,健診異常,肝機能異常,γGTP,γ-GTPが高い原因とお酒以外の意外な要因,情報収集,γGTP 高い,アルコール|脂肪肝|胆道,,low,関連記事誘導,0006|0009,GGT単独で
0009,aoshin,健診異常,肝機能異常,脂肪肝,健診で脂肪肝を指摘されたら：放置リスクと改善法,行動,脂肪肝 健診,NAFLD|NASH|生活習慣,,medium,WEB予約,0006|0007,脂肪肝単独テーマ
0010,aoshin,健診異常,尿酸値異常,高尿酸血症,健診で尿酸値が高いと言われたら：痛風になる前に,行動,尿酸値 高い,痛風|高尿酸血症|プリン体,,low,WEB予約,0040,予防の視点
0011,aoshin,健診異常,腎機能異常,CKD,健診で腎機能低下を指摘された：CKDの初期対応,情報収集,腎機能 低下 健診,eGFR|CKD|クレアチニン,,medium,WEB予約,0012|0013,eGFR低下総論
0012,aoshin,健診異常,腎機能異常,クレアチニン,クレアチニンが高いと言われたら考えられる原因,情報収集,クレアチニン 高い,Cr|腎機能|筋肉量,,medium,関連記事誘導,0011|0013,Cr単独
0013,aoshin,健診異常,腎機能異常,尿蛋白,尿たんぱくを指摘されたらすぐ受診すべき？,不安解消,尿たんぱく 健診,蛋白尿|腎臓|再検査,,medium,WEB予約,0011|0012,尿蛋白単独
0014,aoshin,健診異常,血液異常,貧血,健診で貧血を指摘されたら：原因別に変わる対応,情報収集,貧血 健診,鉄欠乏|ヘモグロビン|生理,,medium,WEB予約,,女性向けにも配慮
0015,aoshin,健診異常,心電図異常,ECG異常,健診で心電図異常を指摘されたら：種類と緊急度,不安解消,心電図 異常 健診,不整脈|ST変化|心エコー,,medium,WEB予約,,過度な不安を煽らない
0016,aoshin,発熱・感染症,発熱対応,発熱目安,発熱外来は何度から受診すべき？目安と注意点,行動,発熱 何度 受診,発熱外来|高熱|受診目安,,low,WEB予約,0017|0020,目安提示
0017,aoshin,発熱・感染症,インフルエンザ,症状,インフルエンザの症状と初期サイン：風邪との違い,情報収集,インフルエンザ 症状,風邪 違い|高熱|筋肉痛,,low,関連記事誘導,0018|0019,初期見分け方
0018,aoshin,発熱・感染症,インフルエンザ,検査,インフルエンザの検査タイミングと精度,情報収集,インフル 検査 タイミング,迅速検査|偽陰性|発症時間,,low,WEB予約,0017|0019,検査時期に絞る
0019,aoshin,発熱・感染症,インフルエンザ,予防接種,インフルエンザワクチンを打つ時期と効果の目安,行動,インフル ワクチン 時期,予防接種|流行期|抗体,,low,WEB予約,0017|0018,接種スケジュール
0020,aoshin,発熱・感染症,新型コロナ,症状変化,新型コロナの症状は変わった？最近の傾向,情報収集,コロナ 症状 最近,オミクロン|後遺症|軽症,,low,関連記事誘導,0016|0017,断定せず傾向で
0021,aoshin,発熱・感染症,胃腸炎,受診目安,急性胃腸炎は病院に行くべき？受診の目安,不安解消,胃腸炎 受診,嘔吐下痢|脱水|ノロ,,low,WEB予約,0022|0025,
0022,aoshin,発熱・感染症,胃腸炎,水分補給,嘔吐下痢が続く時の水分補給と受診タイミング,行動,嘔吐下痢 水分,経口補水|脱水|塩分,,low,WEB予約,0021|0024,実践的に
0023,aoshin,発熱・感染症,咽頭炎,のどの痛み,のどの痛みが続く原因と受診の目安,情報収集,のどの痛み 続く,扁桃|溶連菌|声枯れ,,low,WEB予約,,
0024,aoshin,発熱・感染症,小児発熱,解熱剤,子どもの発熱、解熱剤を使う目安は？,行動,子ども 発熱 解熱剤,アセトアミノフェン|高熱|受診,,low,WEB予約,0016|0022,小児向け配慮
0025,aoshin,発熱・感染症,ノロウイルス,感染対策,ノロウイルスの感染期間と家庭内感染対策,情報収集,ノロ 感染期間,家庭内感染|塩素|嘔吐物処理,,low,関連記事誘導,0021|0022,
0026,aoshin,咳・呼吸器,慢性咳,咳総論,長引く咳の原因は？2週間以上続く時に考えること,情報収集,長引く咳 2週間,咳喘息|アトピー咳|逆流,,medium,WEB予約,0027|0030|0031,期間別に整理
0027,aoshin,咳・呼吸器,咳喘息,咳喘息,咳喘息とは？普通の喘息との違いと治療,情報収集,咳喘息,喘息違い|気道過敏|吸入薬,,medium,WEB予約,0026|0028,
0028,aoshin,咳・呼吸器,喘息,予防,喘息の発作を防ぐために普段から気をつけること,行動,喘息 発作 予防,吸入|アレルゲン|風邪,,medium,関連記事誘導,0027|0029,
0029,aoshin,咳・呼吸器,成人喘息,診断後,大人になってから喘息と診断された：治療の流れ,情報収集,大人 喘息 治療,成人発症|吸入ステロイド|長期管理,,medium,WEB予約,0028,
0030,aoshin,咳・呼吸器,慢性咳,湿性咳,痰がからむ咳が続く：考えられる原因,情報収集,痰 咳 続く,湿性咳|気管支炎|副鼻腔,,medium,関連記事誘導,0026|0034,
0031,aoshin,咳・呼吸器,慢性咳,夜間咳,夜だけ咳が出るのはなぜ？,情報収集,夜 咳 出る,咳喘息|逆流|アレルギー,,low,関連記事誘導,0026|0027,
0032,aoshin,咳・呼吸器,COPD,喫煙者,タバコを吸う人の咳：COPDのサイン？,不安解消,タバコ 咳 COPD,慢性気管支炎|肺気腫|禁煙,,medium,WEB予約,0026,
0033,aoshin,咳・呼吸器,マイコプラズマ,肺炎,マイコプラズマ肺炎の症状と治療期間,情報収集,マイコプラズマ 症状,長引く咳|抗菌薬|学校,,medium,WEB予約,0026|0034,
0034,aoshin,咳・呼吸器,鑑別,気管支炎vs肺炎,気管支炎と肺炎の違い：見分け方と受診目安,情報収集,気管支炎 肺炎 違い,胸部X線|咳|発熱,,medium,WEB予約,0030|0033,
0035,aoshin,咳・呼吸器,鑑別,アレルギー咳,アレルギー性の咳と感染による咳の見分け方,情報収集,咳 アレルギー 風邪,アトピー咳|花粉|ハウスダスト,,low,関連記事誘導,0026|0051,
0036,aoshin,生活習慣病,高血圧,治療開始,高血圧の薬を始める基準は？診察で何を見るか,情報収集,高血圧 薬 基準,降圧薬|診察|家庭血圧,,low,WEB予約,0001|0043,
0037,aoshin,生活習慣病,糖尿病,DM初期,糖尿病と診断されたら：最初の3ヶ月でやること,行動,糖尿病 診断 最初,血糖|HbA1c|食事運動,,medium,WEB予約,0005|0038|0044,
0038,aoshin,生活習慣病,糖尿病,食事療法,糖尿病の食事療法：何を減らせばよいか,行動,糖尿病 食事,糖質|カロリー|間食,,low,関連記事誘導,0037|0044,
0039,aoshin,生活習慣病,脂質異常症,長期治療,脂質異常症は薬を一生飲むのか？,不安解消,脂質異常症 薬 一生,スタチン|生活習慣|中止,,low,WEB予約,0002|0003,
0040,aoshin,生活習慣病,高尿酸血症,痛風予防,高尿酸血症から痛風になる目安と予防,情報収集,高尿酸血症 痛風,尿酸|プリン体|アルコール,,low,WEB予約,0010,
0041,aoshin,生活習慣病,GLP-1,メディカルダイエット,GLP-1注射のダイエット利用：知っておきたい注意点,情報収集,GLP-1 ダイエット,自由診療|副作用|未承認,,high,WEB予約,,慎重に書く・自由診療要件
